	lon	lat
	23.3404791	37.6728988
	23.3405988	37.6729099
	23.3407559	37.67297
	23.3406831	37.673022
	23.3407921	37.6730772
	23.3409372	37.673118
	23.340979	37.6730825
	23.3411951	37.6731556
	23.3412147	37.6732283
	23.3412908	37.6733018
	23.3414167	37.6732224
	23.3414974	37.6732466
	23.3414732	37.6733812
	23.3415318	37.6734523
	23.3414786	37.6735436
	23.3415623	37.6736264
	23.3414536	37.6738589
	23.3414971	37.6739551
	23.3416476	37.6739883
	23.3416694	37.6740923
	23.3418387	37.6745253
	23.3417415	37.6746061
	23.3415948	37.6746725
	23.3415403	37.6747335
	23.3414799	37.6749193
	23.3413667	37.6750318
	23.3414111	37.6751794
	23.3415054	37.6753131
	23.3419595	37.6756259
	23.3422417	37.6758003
	23.3423818	37.6758141
	23.3425072	37.6759351
	23.3427607	37.6760391
	23.3430783	37.676313
	23.3431536	37.6763851
	23.3431511	37.676582
	23.3432743	37.6766282
	23.3433944	37.6767099
	23.3434314	37.6767959
	23.3434165	37.6769021
	23.3433002	37.6769706
	23.3435679	37.6770365
	23.3437824	37.677406
	23.3438886	37.6773818
	23.344009	37.6774116
	23.3440254	37.6775474
	23.344188	37.6776362
	23.3441769	37.6777045
	23.3441075	37.6777774
	23.3441453	37.6779962
	23.3445527	37.6780479
	23.3446206	37.678166
	23.3445578	37.6782671
	23.3444295	37.6782972
	23.3445913	37.678439
	23.3447107	37.6784765
	23.3446932	37.6785441
	23.34446	37.6786212
	23.344429	37.6786933
	23.3444042	37.6787082
	23.3443962	37.6787352
	23.3444404	37.6787528
	23.3444265	37.6788131
	23.3443512	37.6788296
	23.3443459	37.6788568
	23.3443901	37.6788944
	23.3443476	37.6790051
	23.3442969	37.6790234
	23.3442909	37.679043
	23.3444354	37.6791617
	23.3443365	37.6792361
	23.3442526	37.6793137
	23.3436715	37.6795006
	23.3436069	37.6794962
	23.3435106	37.6796034
	23.343623	37.6796373
	23.3434768	37.6797573
	23.3435318	37.6797966
	23.3436445	37.6797828
	23.3440137	37.6799494
	23.3441446	37.6800162
	23.3441487	37.6801597
	23.344138	37.6802445
	23.344256	37.6803294
	23.3445919	37.6803808
	23.3447509	37.6804217
	23.3449169	37.6803924
	23.3449294	37.6802781
	23.3450474	37.6803196
	23.3450891	37.6803688
	23.345168	37.680358
	23.3451915	37.6804733
	23.3453504	37.6805045
	23.345544	37.6804005
	23.3459374	37.6804815
	23.3460778	37.6807008
	23.3462275	37.6808473
	23.3463026	37.6808473
	23.3463748	37.6809156
	23.346324	37.6810106
	23.3462502	37.6811851
	23.3462878	37.6812337
	23.3464863	37.6812337
	23.3469542	37.6813364
	23.3469731	37.6813664
	23.3469275	37.6814072
	23.3470871	37.68155
	23.3473162	37.6816754
	23.3475614	37.681705
	23.3475858	37.6817937
	23.3475391	37.681827
	23.3473626	37.6818771
	23.3472065	37.681931
	23.3470367	37.6821189
	23.3475653	37.6824903
	23.347724	37.6824964
	23.3477885	37.6825498
	23.3480688	37.6825721
	23.3482512	37.6826639
	23.3485596	37.6826793
	23.3488761	37.6826474
	23.3493313	37.6826922
	23.34932	37.6827196
	23.349316	37.6827843
	23.3494917	37.6828586
	23.3495791	37.6829562
	23.3499065	37.6830653
	23.3501488	37.6832704
	23.3503323	37.6832913
	23.3506075	37.6832078
	23.3507175	37.6832237
	23.3510154	37.6831599
	23.3510903	37.6832513
	23.3510474	37.6833501
	23.3511252	37.6834127
	23.351034	37.6835506
	23.3511694	37.6836685
	23.3511872	37.6837452
	23.3511292	37.6839157
	23.3512164	37.6839295
	23.3513545	37.6840558
	23.3515646	37.6845664
	23.3515355	37.6845971
	23.351443	37.6846353
	23.3513968	37.6847125
	23.3511674	37.6849468
	23.3508539	37.6851584
	23.3505478	37.6852349
	23.3495769	37.6852831
	23.3494926	37.6853174
	23.3494716	37.685425
	23.3494568	37.6855003
	23.3495104	37.6855462
	23.3497359	37.685571
	23.3500003	37.6857107
	23.3503251	37.6860574
	23.3506188	37.6862729
	23.3508193	37.6864062
	23.3508288	37.6864757
	23.3507582	37.6865607
	23.3508623	37.6865871
	23.3512495	37.6865316
	23.3515647	37.6863798
	23.3518428	37.6864478
	23.3519103	37.6865792
	23.3520093	37.6864613
	23.352194	37.6864322
	23.3523554	37.6865148
	23.3525928	37.6864121
	23.353048	37.6862977
	23.353614	37.6862325
	23.3541648	37.686221
